endTime,artistName,trackName,msPlayed
2020-07-17 07:24,Sir Sly,High,2902
2020-07-17 07:24,David Bowie,Suffragette City - 2012 Remaster,19121
2020-07-17 07:25,David Bowie,Fame - 2016 Remaster,36733
2020-07-17 07:25,Talking Heads,This Must Be the Place (Naive Melody) - 2005 Remaster,12910
2020-07-17 07:26,Yeasayer,Ecstatic Baby,26598
2020-07-17 07:26,Tennis,Runner,23649
2020-07-17 07:27,Little Dragon,Lover Chanting,37964
2020-07-17 07:27,BRONSON,HEART ATTACK (feat. lau.ra),5259
2020-07-17 07:27,ODESZA,A Moment Apart,6455
2020-07-17 07:27,Disclosure,You & Me - Flume Remix,6315
2020-07-17 07:27,Flume,Drop The Game,16764
2020-07-17 07:27,Flume,Never Be Like You (feat. Kai),2763
2020-07-17 07:27,Flume,Rushing Back,3575
2020-07-17 07:27,Flume,The Difference,4713
2020-07-17 07:28,ODESZA,Say My Name (feat. Zyra),27887
2020-07-17 07:28,Kali Uchis,Dead To Me,4702
2020-07-17 07:28,Portishead,The Rip,882
2020-07-17 07:28,Kali Uchis,"After The Storm (feat. Tyler, The Creator & Bootsy Collins)",4423
2020-07-17 07:28,Portishead,Glory Box,5537
2020-07-17 07:28,Portishead,Sour Times,12631
2020-07-17 07:28,Portishead,Wandering Star,1811
2020-07-17 07:30,KAYTRANADA,10%,67407
2020-07-17 07:30,KAYTRANADA,10%,6907
2020-07-17 07:30,Mac Miller,Jet Fuel,2031
2020-07-17 07:30,Mac Miller,What's the Use?,12376
2020-07-17 07:31,SBTRKT,Trials of the Past,5015
2020-07-17 07:31,SBTRKT,NEW DORP. NEW YORK,26029
2020-07-17 07:31,SBTRKT,Pharaohs,2751
2020-07-17 07:31,SBTRKT,Hold On,2867
2020-07-17 07:31,SBTRKT,Wildfire,3773
2020-07-17 07:31,Mac Miller,What's the Use?,38846
2020-07-17 07:32,Mew,Introducing Palace Players,12492
2020-07-17 07:32,Mew,Snow Brigade,14895
2020-07-17 07:32,SBTRKT,GEMINI,26795
2020-07-17 07:32,Mew,The Zookeeper's Boy,9543
2020-07-17 07:37,Mew,She Spider,269026
2020-07-17 07:37,Kasabian,Fire,11273
2020-07-17 07:37,Razorlight,Golden Touch - Full Length,18866
2020-07-17 07:38,Kasabian,Club Foot,28966
2020-07-17 07:39,The Hives,Main Offender,9032
2020-07-17 07:39,Kasabian,eez-eh,64272
2020-07-17 07:39,The Hives,Hate To Say I Told You So,2089
2020-07-17 07:39,The Hives,Walk Idiot Walk,14117
2020-07-17 07:39,The Hives,Tick Tick Boom,5572
2020-07-17 07:40,The Raconteurs,"Steady, As She Goes",54474
2020-07-17 07:40,Wolfmother,Joker And The Thief,3308
2020-07-17 07:40,Wolfmother,Vagabond,3146
2020-07-17 07:40,Wolfmother,Pretty Peggy,2171
2020-07-17 07:41,Wolfmother,Woman,20677
2020-07-17 07:41,The Black Keys,Lonely Boy,16834
2020-07-17 07:41,Wolfmother,Victorious,2136
2020-07-17 07:42,Grouplove,Deleter,10553
2020-07-17 07:42,Cold War Kids,Hang Me Up To Dry,21037
2020-07-17 07:42,The Black Keys,Howlin' for You,28247
2020-07-17 07:42,Grouplove,Tongue Tied,8788
2020-07-17 07:43,Band of Horses,The Funeral - Live Acoustic,7732
2020-07-17 07:43,Band of Horses,Is There A Ghost,1079
2020-07-17 07:43,Band of Horses,The Funeral,5340
2020-07-17 07:43,Grouplove,Tongue Tied,35422
2020-07-17 07:43,Band of Horses,No One's Gonna Love You,1637
2020-07-17 07:44,Tokyo Police Club,Your English Is Good,4167
2020-07-17 07:44,Tokyo Police Club,Simple Dude,2856
2020-07-17 07:44,Dr. Dog,Heart It Races - Cover Version,3842
2020-07-17 07:44,Tokyo Police Club,DLTFWYH,1265
2020-07-17 07:44,Dr. Dog,Where'd All the Time Go?,4980
2020-07-17 07:44,Tokyo Police Club,Bambi,8835
2020-07-17 07:44,Tokyo Police Club,Hang Your Heart,3715
2020-07-17 07:44,Passion Pit,Sleepyhead,18842
2020-07-17 07:45,Phoenix,J-Boy,11493
2020-07-17 07:45,Dr. Dog,Nellie,35619
2020-07-17 07:46,The Naked And Famous,Young Blood,14524
2020-07-17 07:46,Phoenix,Ti Amo,64040
2020-07-17 07:47,The Postal Service,Such Great Heights - Remastered,23324
2020-07-17 07:47,The Bravery,An Honest Mistake,8939
2020-07-17 07:47,Metric,Help I'm Alive,2635
2020-07-17 07:47,Metric,Help I'm Alive,25344
2020-07-17 07:47,The Bravery,Believe,5584
2020-07-17 07:47,Metric,Black Sheep,2612
2020-07-17 07:47,Metric,Gold Guns Girls,1242
2020-07-17 07:48,The Bravery,An Honest Mistake,46834
2020-07-17 07:48,Klaxons,Atlantis To Interzone,4829
2020-07-17 07:48,Klaxons,Golden Skans,3482
2020-07-17 07:48,Klaxons,It's Not Over Yet,5596
